,MLM
1219,0.01
1215,1.95
2676,17.9
606,5.482
164,33.42
2154,84.98
1040,1.52
1978,1.0
2665,69.477
3348,0.501
329,0.16
2011,53.9
2528,0.23
2546,0.09
3368,85.014
1429,78.2
3230,84.0
2141,6.46
809,62.367
433,4.179
1107,35.232
2091,1.641
860,12.86
274,24.072
967,66.817
2758,29.96
3454,1.848
2139,1.77
1346,7.7
2813,16.69
885,81.22
556,48.07
908,45.36
1381,97.15
2117,3.193
2562,12.566
509,85.808
2388,17.7
221,60.396
1297,1.45
146,35.265
1777,30.406
1053,0.21
1822,0.11
2851,2.5
508,1.42
323,19.84
1561,91.539
176,36.24
2852,16.65
1908,5.504
168,1.0
1400,21.103
3421,0.23
1392,0.17
2257,0.23
2177,51.09
2237,0.0
136,1.0
1470,19.7
3152,95.89
1278,2.673
1973,6.4
894,3.18
197,14.28
2338,4.65
1483,18.23
1792,0.01
2084,21.032
767,19.45
2280,81.732
2693,77.96
2081,0.48
1112,4.41
3376,6.622
2850,99.9
3116,0.0
865,40.959
2389,64.03
1085,23.63
1447,0.599
199,2.84
429,72.28
3471,81.044
1823,0.32
1795,9.95
2924,2.162
1970,3.022
730,4.51
2967,81.485
297,46.23
2121,0.963
807,12.238
2595,96.205
1565,16.69
2997,20.0
1172,99.9
3327,57.91
3334,49.78
821,3.137
2711,40.761
1241,4.79
1563,5.34
3318,16.942
623,3.78
1445,61.96
1718,0.03
1162,4.45
2260,29.87
1640,61.316
3083,83.99
3332,25.62
2603,70.031
2775,92.239
2749,8.352
1022,17.45
1750,10.47
291,1.0
2022,60.82
1740,0.27
2282,90.342
1007,0.54
3026,7.943
67,7.12
24,3.39
216,40.53
2860,75.364
1910,86.5
2783,18.238
1153,34.16
2159,113.21
166,96.82
3419,0.3
207,62.506
2322,65.74
2089,21.35
591,0.07
1176,60.78
1720,2.91
1863,48.753
525,75.36
2335,11.845
469,84.025
1350,99.9
2169,63.81
2811,25.55
1531,38.11
928,56.476
1896,0.77
2721,91.67
1619,0.003
1469,57.97
1141,1.0
2934,66.41
1913,0.44
956,19.61
1488,38.75
25,0.17
1134,49.635
2197,25.37
925,54.08
3224,0.01
1552,0.115
2744,0.622
843,64.19
1645,85.725
2937,25.9
2646,0.12
1020,6.43
2187,0.035
749,1.237
3052,11.291
2371,9.06
180,94.98
1272,11.857
2498,41.56
1434,26.64
607,91.17
3091,1.0
1352,0.41
2344,42.65
1904,3.334
1899,2.34
3298,0.682
94,36.74
770,6.366
637,82.35
1304,45.306
2334,0.051
2536,91.34
2492,1.324
1208,69.55
1395,50.51
1578,38.026
1198,50.124
275,30.71
2854,88.374
1152,43.14
1206,0.47
2080,16.143
1104,89.16
307,20.381
2818,0.73
2059,5.01
872,99.9
3115,91.807
86,67.209
2826,0.034
3108,66.019
2753,96.2
3130,35.809
3113,0.5
2830,88.26
1435,46.35
2610,88.24
209,0.05
3220,80.71
2787,7.074
1966,23.404
2642,52.37
1987,84.251
2171,50.2
2782,46.53
931,83.93
2146,97.65
2425,6.574
130,99.99
1723,1.13
2071,9.1
954,79.275
555,0.13
2418,17.157
1930,1.768
1536,0.0
2431,83.0
201,1.993
2965,69.79
2023,1.226
368,33.829
973,25.265
1634,3.19
2435,28.737
816,3.25
1954,99.99
1316,0.022
1905,0.0
256,0.86
3269,0.432
3167,2.012
1472,68.06
1699,48.505
2217,1.18
1605,46.63
1329,3.874
560,0.964
1877,84.96
373,99.9
2957,72.426
2767,68.408
2839,50.194
3002,0.872
3299,27.613
1684,66.81
1167,78.614
2024,3.056
1204,0.26
2916,3.49
972,19.345
1155,75.898
2036,25.66
3450,0.278
1071,23.86
3012,43.457
774,71.1
324,88.63
2251,0.309
84,0.17
2681,0.556
2956,0.26
1589,46.44
2659,21.57
2446,69.6
1920,91.97
91,23.74
3154,0.723
430,0.61
2827,39.247
3191,25.28
2339,0.0
2105,5.06
1345,75.76
257,89.37
888,4.15
3448,65.56
1466,41.658
3114,3.432
1641,92.41
388,5.05
2383,74.33
273,11.788
756,86.89
1925,0.12
3125,0.39
1956,86.752
3438,1.737
2176,76.69
802,2.2
2076,4.541
1207,39.93
2930,0.13
2558,14.632
2723,23.306
151,94.31
2292,87.86
714,46.813
2591,89.06
544,86.176
639,0.31
2745,65.28
3337,99.9
3360,72.15
423,1.06
2958,81.751
3219,2.23
659,0.692
797,84.28
3467,9.293
3249,0.83
2008,3.23
99,63.74
2898,38.51
2496,2.42
1871,29.411
2046,67.927
755,47.16
976,32.657
2163,0.67
1940,66.16
2825,52.34
2120,33.39
2893,4.49
537,6.69
1701,1.816
2897,70.784
2222,0.94
2135,5.149
2599,36.69
705,41.485
2362,1.819
3468,6.957
2648,67.179
3142,3.72
2647,0.29
1828,1.664
1778,1.76
277,0.49
1033,99.99
3431,0.184
1731,0.76
763,0.659
835,14.41
3264,99.0
1653,57.52
2607,1.596
2732,2.4
