,SMILES,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea
287,COC(=O)CCN1C(=O)c2ccncc2/C1=C\c1ccccc1,1.485,308.331,4,0,5,1.485,59.5
1091,OCC1(COc2ccccc2-c2nncn2-c2ccccc2)COC1,1.845,337.372,5,1,6,1.844,69.4
733,C/C=C/C=C/C(=O)N1CCN(C(C)C(N)=O)CC1,0.442,251.325,3,1,4,0.045,66.64
2859,CCN(CC)C(=O)[C@@H]1C[C@@H](NC(=O)Cn2ccc3ccccc32)CN1C,1.536,356.462,3,1,6,1.526,57.58
512,Cc1oc(-c2cccc(F)c2F)nc1CN(C)CC1CCCNC1,2.656,335.392,3,1,5,2.153,41.3
810,c1ccc(Cn2c(CNc3nc4ccccc4n3CCN3CCOCC3)nc3ccccc32)cc1,4.809,466.577,4,1,8,4.8,60.14
2941,O=C(NCC1=COCCO1)NC1CCc2c1ccc(Cl)c2Cl,2.338,343.205,3,2,3,2.338,59.59
2300,CC(=O)Nc1cccc(C2CCN(CCCn3nc(S(=O)(=O)c4ccc(C)cc4)c4ccccc4c3=O)CC2)c1,4.283,558.691,6,1,8,2.786,107.53
815,CO[C@H]1C[C@H](C(=O)Nc2ccncc2C(C)=O)N(S(C)(=O)=O)C1,-1.49,341.383,6,1,5,-1.073,114.05
828,Cn1nnc(-c2ccc(OCC(=O)Nc3ccc4[nH]ccc4c3)cc2)n1,2.418,348.359,5,2,5,2.418,97.72
1261,Cc1c(-c2cnn(C)c2C)nn(-c2ccc(Cl)cc2)c1-c1cnn(C)c1C,4.554,380.874,3,0,3,4.555,53.46
1577,CCOC(OCC)c1cc2c(N)nc3ccccc3c2o1,2.979,286.326,3,1,5,2.979,70.51
2904,CCOc1ccccc1CCCNS(=O)(=O)c1ccc(C)cc1,3.92,333.445,3,1,8,3.92,63.78
279,CNC(=O)C1CCN(c2nc(Nc3ccc4[nH]ncc4c3)nc(OC)n2)CC1,2.528,382.42,6,3,5,2.528,120.95
3351,CC1CC(=O)NN=C1c1ccc(-n2ccnc2)c(F)c1,1.387,272.278,3,1,2,1.43,59.28
1277,CCCc1cc(C(=O)N(C)CC2Cc3ccccc3CN2C)[nH]n1,3.21,326.436,3,1,5,3.21,52.23
250,CCc1nc2cc(Br)c(C(=O)OC)nc2n1CC(=O)c1ccccc1,3.815,402.242,5,0,6,3.819,74.08
2204,OC1=C2C(=Nc3ncnn3C2c2cn(-c3ccccc3)nc2-c2cccnc2)CCC1,3.311,409.443,6,1,3,3.353,94.01
3188,OCCOCCN1CCN(c2nc(Cl)cc(Nc3ccc4[nH]ncc4c3)n2)CC1,2.628,417.893,6,3,8,2.628,102.43
2188,N[C@@H](CC(=O)N1CCCN(Cc2ccccc2)CC1)Cc1cc(F)c(F)cc1F,3.019,405.457,3,1,6,1.681,49.57
2271,CCc1cc2c(cc3c(=O)n(CC(=O)NCC(C)c4ccccc4)nc(CC)n32)s1,4.591,422.543,3,1,7,4.591,94.94
2088,CC1CCN2c3cc(Cl)ccc3CC3(C(=O)OC(C)(C)OC3=O)C2C1,3.634,363.835,4,0,0,3.634,55.84
1045,CC(C)(C)c1cc(SCC(=O)O)cc(C(C)(C)C)c1O,4.412,296.425,4,2,5,2.94,82.83
2234,Clc1cccnc1N1CCCC(Cn2ccnc2)C1,2.342,276.765,2,0,3,2.615,33.95
31,Cc1nc2nc(CCNS(=O)(=O)c3cccs3)cn2nc1C,1.027,337.42,5,1,5,1.009,125.87
3494,CCn1[nH]cc/c1=N\C(=O)c1nn(-c2ccccc2)c(=O)c2ccccc12,1.912,359.381,4,1,3,1.844,77.37
864,Nc1nc(N(Cc2ccco2)Cc2ccco2)c2[nH]cnc2n1,1.768,310.311,3,2,5,1.768,110.0
3297,CCn1nccc1-c1cc(C(=O)[O-])c2ccc(C)c(C)c2n1,2.381,294.328,4,0,3,2.384,70.84
2211,CCOc1ccc(-c2nc(C)c(C(C)=O)n2O)cc1,0.162,260.288,4,1,4,0.298,64.34
1737,CC(C)c1ccc(CN2CCN(CCO)CC2)cc1,2.515,262.39,3,1,5,2.062,26.71
2262,Cc1cc(N(C)Cc2ncc(Br)cn2)n2nc(C)nc2n1,1.621,348.201,5,0,3,1.621,72.09
1748,Cc1ccccc1S(=O)(=O)Nc1ccc2nc(N3CCN(CC(=O)NC(C)(C)C)CC3)cc(C(=O)O)c2c1,0.235,539.646,7,3,8,2.977,140.32
842,COc1ccc(C)cc1N(CC(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1)S(C)(=O)=O,1.631,481.586,6,1,8,1.631,129.85
2667,c1ccc(Oc2ccc(Nc3ncnc4[nH]ncc34)cc2)cc1,3.543,303.318,4,2,4,3.46,75.72
1774,CC(C)(CO)NCc1ccc(-c2cc(Cl)cc(Cl)c2)o1,3.731,314.207,2,2,5,2.505,45.4
2110,C/C(=C\c1c[nH]c(-c2ccccc2)n1)c1cnccn1,2.63,262.309,3,1,3,2.631,54.46
2656,Cc1cc(-c2ccccc2)nc2c(Br)c(=O)[nH]n12,1.981,304.142,2,1,1,1.981,44.7
2402,CCOC(=O)C(Cc1ccccc1)(NC(C)=O)C(=O)OCC,1.702,307.342,5,1,9,1.702,81.7
2972,OC1CCC(Nc2nc(-c3ccncc3)nc3c2CCC3)CC1,2.553,310.393,4,2,3,2.557,70.93
3326,Cc1ccc(C(=O)C2=CN(c3cc(Cl)cc(Cl)c3)c3cc(F)ccc3S2(=O)=O)c(C)c1,6.474,476.347,3,0,3,6.474,62.83
2459,CCOc1cc(=O)n2c(c1C(=O)NCc1ccc(C)o1)CCCCC2,1.536,344.405,3,1,5,1.536,71.78
1393,COCCN(C)S(=O)(=O)c1cc2c(cc1Oc1ccc(Cl)cc1)Oc1ccc(C)cc1NC2=O,4.041,502.967,6,1,7,4.041,102.55
309,CN1CCC(NS(=O)(=O)c2cc(Cl)ccc2Cl)CC1,2.18,323.239,3,1,3,0.963,57.79
3357,CC1CCc2c(sc3ncnc(NC(c4nnc5n4CCC5)C(C)C)c23)C1,4.285,382.526,4,1,4,4.284,96.76
3203,CN/C(=N/c1cc(C)nn1-c1ccccc1)c1ccc(F)cc1,3.714,308.353,2,1,4,3.62,42.21
490,O=c1[nH]cccc1-c1nc(-c2cccc(Br)c2)no1,1.699,318.126,3,1,2,1.707,68.02
818,Cc1cc2n(CCNC(=O)COc3ccc(F)cc3)ccn2n1,1.599,316.33,3,1,6,1.599,60.56
1775,CC(Nc1ccc2cc[nH]c2n1)c1cn2ccsc2n1,2.274,283.352,2,2,3,2.273,86.25
3277,O=C(Nc1cc(Br)cc2c1N(c1ncccn1)CC2)c1ccccc1,3.936,395.253,3,1,3,3.936,58.12
2520,COc1ccc(C)cc1NS(=O)(=O)c1cn(C)nc1C,1.72,295.357,4,1,4,1.789,81.6
1539,COc1cccc2c1CCC(=O)N2CCCN1CCC(c2ccccc2)CC1,3.867,378.507,3,0,6,3.391,32.78
2570,Cc1nn(CCC(=O)NC(C)(C)CN2CCCC(C)C2)c(C)c1C,2.659,334.499,3,1,6,1.528,50.16
3157,CN1C(=O)c2cccc3c2C1=Cc1ccc2ccccc2c1O3,3.319,299.323,2,0,0,3.319,29.54
2638,CC(Nc1ncc(Cl)cn1)C(C)n1cncn1,1.414,252.703,4,1,4,1.416,68.52
1538,CC(=O)OC(CF)c1cc(F)ccc1S(N)(=O)=O,0.944,279.26,4,1,5,0.944,94.84
1259,CC(C)n1/c(=N/C(=O)c2ccccc2Br)c(C#N)cc2c(=O)n3ccccc3cc21,2.584,461.311,4,0,2,2.48,76.77
1165,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,2.135,317.336,5,0,5,2.135,65.07
892,Cc1ncc(-c2ccc(C)c(S(=O)(=O)NC(C)(C)C)c2)o1,2.126,308.396,3,1,4,2.126,80.58
970,O=C(CCS(=O)(=O)c1ccccc1)N(Cc1cccnc1)c1nc2ccc(Cl)cc2s1,4.169,471.98,5,0,7,4.21,116.85
2012,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N2CCC[C@@H]12,1.255,283.325,2,2,2,1.255,65.19
2658,Cn1c(Nc2ccccc2Cl)cc(=O)n(C)c1=O,2.131,265.696,2,1,2,2.131,52.65
2731,O=C(CC(c1ccccc1)c1ccccc1)N1CCOCC1,2.706,295.376,2,0,4,2.706,29.54
1188,O=S(=O)(c1ccccc1)c1nc(-c2ccccc2)oc1NCC1CCCO1,3.586,384.449,4,1,6,3.586,89.81
2293,COc1cc(=O)[nH]cc1C(=O)N1CCCN(C)c2ccccc21,0.358,313.351,3,1,2,0.368,61.88
3443,CCN(CC)S(=O)(=O)c1ccc2nc(NCc3cc(F)cc(F)c3)cnc2c1,3.451,406.45,4,1,7,3.451,83.57
521,COc1cccc2c(C(C(=O)O)N3CCN(C4=Nc5ccccc5Oc5ccccc54)CC3)c[nH]c12,1.211,482.53,6,2,5,2.859,90.39
3275,O=S(=O)(Cc1ccccc1)CC(O)Cn1cccn1,1.15,280.343,4,1,6,1.15,80.57
393,CCn1ccc(C(=O)N2C[C@@H](F)C[C@H]2Cn2cc(C(N)=O)nn2)n1,0.271,335.337,5,1,5,0.272,111.93
77,COC(=O)c1ccc(CCC(C)NCC(O)c2cccc(Cl)c2)o1,3.38,351.825,4,2,9,2.282,71.7
1564,O=C(NCCCn1cccn1)c1c(OCC2CC2)cc(=O)n2c1CCCCC2,1.457,384.472,4,1,8,1.457,76.46
1417,CCn1cc(-c2cc(C(F)F)n3nc(C)cc3n2)c(C)n1,2.495,291.299,3,0,3,2.495,48.01
2137,Cc1noc(C)c1CCC(=O)Nc1cccc2ncccc12,2.174,295.336,3,1,4,2.174,68.02
262,Oc1cccc(-c2nc3c(s2)Cc2ccccc2-3)c1,3.93,265.33,2,1,1,3.922,61.36
198,Cn1ccc(Cn2nnn(-c3cccs3)c2=O)cc1=O,1.377,289.313,4,0,3,1.377,96.82
1770,Cc1ccc2c(c1)Oc1cc(Cl)c(S(=O)(=O)N3CCc4ccccc4C3)cc1C(=O)N2,4.27,454.926,4,1,2,4.27,84.09
240,NC(=O)c1cccc2cc(CN3CCN(c4ccccc4Cl)CC3)oc12,3.581,369.845,2,1,4,3.55,62.71
721,C=CCc1c(O)ccc2[nH]cc(S(=O)(=O)c3ccc(C)cc3)c12,4.478,327.397,3,2,4,4.478,78.54
2225,O=S1(=O)N=C(N2CCN(c3ccccc3)CC2)c2ccccc21,1.809,327.401,3,0,2,1.809,61.36
3353,COC(=O)c1sc2ncn(CC(C)=O)c(=O)c2c1C,0.957,280.3,5,0,4,0.954,104.27
2378,COC(=O)c1ccc(-c2nc3c(N)nc(S(C)(=O)=O)nc3n2C)cc1,1.591,361.376,7,1,4,1.591,138.44
1058,Cc1ccccc1-c1nc2ccccc2cc1CN(C(=O)CCNC(=O)OC(C)(C)C)c1ccnc(S(C)(=O)=O)n1,5.049,575.679,8,1,10,5.049,139.83
2190,Nc1c(C(=O)c2ccc[nH]2)cnn1-c1ccc(F)cc1,2.429,270.262,2,2,3,2.429,76.69
799,CC(NCc1csc(Br)c1)c1cc2ccccc2o1,4.047,336.247,1,1,4,3.706,53.41
2624,Cc1nn(C)cc1-c1nn(-c2ccccc2)c(-c2cn(C)nc2C)c1C,4.164,346.429,3,0,3,4.163,53.46
3444,CC(C)(C)Nc1c(-c2ccccc2)nc2ccccn12,3.796,265.353,1,1,3,3.796,29.33
381,Cc1cccc2c(O)c3nc(C)n(-c4ccccc4)c3nc12,4.018,289.331,3,1,1,4.226,50.94
2829,Cc1ccc2oc(=O)n([C@H]3c4cc(Br)cnc4OC(C)(C)[C@@H]3O)c2c1,3.655,405.243,5,1,1,3.655,71.89
2067,Cc1nc2nc(N3C(=O)CCC3=O)nn2c(C)c1Cl,1.151,279.682,5,0,1,1.151,80.46
1798,COC(=O)[C@@]1(C)CCC(C(=O)Nc2ccccc2C(=O)O)C1(C)C,2.535,333.379,5,2,5,1.061,92.7
1036,Cn1cnc2c(sc3nc4c(cc32)COC(C)(C)C4)c1=O,1.761,301.364,4,0,0,1.762,83.03
1210,COC(=O)c1cc(Cl)ccc1C1CCN(CC(=O)N2CCc3ccccc32)CC1,3.958,412.909,4,0,5,3.901,49.85
3119,CCOC(=O)Cc1c(C)[nH]c2c(-c3ccccc3)cnn2c1=O,2.263,311.335,4,1,5,2.263,73.22
3099,Cc1c(-c2cc(-c3cnn(C)c3C)n(Cc3ccc(Cl)c(Cl)c3)n2)cnn1C,4.739,415.319,3,0,4,4.74,53.46
1494,O=C(c1ccoc1)N1CC(c2nnc(-c3ccncc3)o2)C2(CCOCC2)C1,0.392,380.397,5,0,3,0.396,94.49
2363,Cc1nn(-c2n[nH]c(C)c2Br)c(C)c1C,2.847,269.141,2,1,1,2.847,46.5
1515,C[C@@H]1CN(c2ccncc2F)C[C@@]1(O)C1CCC1,1.998,250.312,2,1,2,2.517,36.36
106,CS(=O)(=O)N1CCN(CCOc2ccc3c(c2)C(c2cc(F)cc(F)c2)=C(c2cccnc2)C3=O)CC1,3.219,525.567,6,0,7,3.086,88.19
1703,CCOC(=O)c1c(C(F)(F)F)[nH]n2c(C(F)F)nnc12,2.213,298.17,4,1,5,2.142,72.28
85,COc1ccccc1-n1c(=O)n(Cc2cccc(C)c2)c(=O)c2c(C)cc(C)nc21,4.763,401.458,4,0,4,4.763,62.73
1226,Cc1nc(-c2ccncc2)nc(NCCCCn2ccccc2=O)c1C,1.98,349.43,4,1,7,1.979,71.01
1039,Nc1ncc(Br)cc1S(=O)(=O)N1CCC(Oc2ccncc2)C1,0.728,399.263,5,1,4,0.728,106.79
474,CS(=O)(=O)NCC1COCCN1C(=O)Nc1ccc2cnccc2c1,-0.391,364.419,5,2,4,-0.328,109.01
1195,Clc1ccc2c(c1)C=C(c1nnc(Cc3ccccc3)o1)C=CO2,3.853,336.772,3,0,3,3.853,48.15
1142,CC(C)Cn1c(=O)c2ccc(C(=O)NC3CCCCC3)cc2n2c(=O)n(Cc3ccccc3)nc12,4.859,473.567,4,1,6,4.859,85.32
2975,c1ccc(-c2nc(Cc3nc4ccccc4[nH]3)no2)cc1,3.102,276.293,3,1,3,3.092,67.59
2756,COCCOc1cc(=O)n2c(c1C(=O)N1CCCC1)CCOCC2,-0.811,336.383,5,0,5,-0.811,68.31
431,O=C1Nc2ccccc2CCC1n1cnc2ccsc2c1=O,2.212,311.358,3,1,1,2.218,90.01
1526,OC1=C2C(=Nc3ccccc3NC2c2cccnc2)CC(c2ccccc2)C1,3.723,367.443,3,2,2,4.062,57.51
513,N#Cc1nc(-c2ccc(Br)o2)oc1N1CCC(C(=O)Nc2cnccc2O)CC1,2.073,458.265,5,2,4,1.919,128.42
1725,CCc1nc(NCCc2ccncc2)c2c3c(sc2n1)CCCC3,4.219,338.47,3,1,5,4.225,78.94
1991,CC(C)CN/C(=N/S(=O)(=O)c1ccccc1)c1ccccc1,2.995,316.418,3,1,6,2.995,66.91
1351,O=S1(=O)N=C(N2CCCCC2)c2ccccc21,1.096,250.317,3,0,1,1.096,58.12
1678,COc1cc(=O)n(C)cc1C(=O)NC(c1cccnc1)C1CCOCC1,-0.381,357.404,5,1,5,-0.371,80.76
2112,CSc1nnc(CNC(=O)OC(C)(C)C)n1-c1ccccc1,2.955,320.41,5,1,6,2.955,94.33
633,O=C(NC1CCCC1)N1Cc2c(sc3c2CCCC3)-n2cccc2C1c1cccc(F)c1,6.363,449.583,1,1,2,6.362,65.5
2933,O=C(Cc1cc(Br)ccc1F)OCCNC(=O)c1cccnc1,2.38,381.196,4,1,7,2.38,68.29
629,Cc1ccc(/N=C/N(C)/C=N/c2ccc(C)cc2C)c(C)c1,4.825,293.406,2,0,4,4.824,27.96
1656,CCN(Cc1cccc(F)c1)C(=O)c1occc1CS(=O)(=O)c1ccccc1,3.886,401.451,3,0,7,3.886,75.97
2530,Cc1cc(C(=O)NCC2(O)CCCC2(C)C)[nH]n1,1.367,251.325,3,3,3,1.367,78.01
1339,c1ccc(Cc2nc(Cn3cc(-c4cncnc4)nn3)cs2)cc1,2.394,334.398,5,0,5,2.394,97.62
2244,CC(=O)CCS(=O)(=O)c1ccc(-c2ccc(S(=O)(=O)CCC(C)=O)cc2)cc1,2.06,422.515,6,0,9,2.06,119.17
2569,COc1cc(=O)n(C)cc1C(=O)N1CCc2c(cnc3cc(C)nn23)C1,-0.7,353.375,5,0,2,-0.7,80.04
301,COC(=O)c1ccc(S(C)(=O)=O)c(O)c1Cl,1.633,264.683,5,1,3,0.957,89.05
345,CCC(CC)CN1CC2(CCN(C(=O)[C@@H]3C[C@H](N)CN3C)CC2)OC1=O,0.594,366.498,5,1,5,-0.576,79.11
2602,C(=C/c1ccc2ccnc(N3CCOCC3)c2c1)\c1ccncc1,2.812,317.384,3,0,3,2.852,38.25
2652,O=C(CSc1n[nH]c2nc3ccccc3n12)c1ccc(O)cc1,3.448,324.357,5,2,4,3.386,108.58
2240,CC(=O)c1ccc2[nH]c3c(C(C)=O)cc(Cl)cc3c2c1,3.467,285.725,2,1,2,3.466,49.93
3340,Nc1nc(N2CCOCC2)[nH]c(=O)c1Br,-0.625,275.103,3,2,1,-0.596,79.95
310,CC1CCC(C)N1C(=O)c1cc(Br)nn1-c1ncccc1Cl,4.013,383.671,3,0,2,4.013,51.02
735,CC1CCN(Cc2nc(N)nc(Nc3ccc(Cl)cc3)n2)CC1,3.586,332.831,4,2,4,2.055,79.96
187,OCCN1CCN(Cc2nc(O)c3ccccc3n2)CC1,1.065,288.345,6,2,4,1.058,72.72
1322,CS(=O)(=O)NCC(=O)N1Cc2ccccc2C(c2ccccc2)C1,1.439,344.428,3,1,4,1.445,74.86
3070,Cn1c(CN2CCc3ccccc3C2)cc(=O)c(O)c1CN1CCOC(c2ccccc2)C1,2.912,445.553,5,1,5,1.244,56.25
1686,c1ccc(Cn2nnc(C3(c4ccccc4)CCOCC3)n2)cc1,3.23,320.388,4,0,4,3.23,52.83
677,COc1nc(OC)c(C(C)C)c(-c2nnn(C)n2)n1,2.376,264.284,7,0,4,2.376,87.84
203,COc1cc(=O)n(C)cc1C(=O)NCCOc1ccc(F)cc1,0.575,320.316,4,1,6,0.575,67.87
3459,Cc1c(Br)c(-c2nc3c4ccccc4ncn3n2)nn1C,2.926,343.181,4,0,1,3.054,60.9
415,Cc1coc(C)c1C(=O)CC1(O)C(=O)Nc2cc(Cl)cc(Cl)c21,2.698,354.185,3,2,3,2.716,79.54
516,O=C(c1ccccc1)c1ccccc1C(=O)N1Cc2ccccc2C(C(=O)O)C1,3.626,385.412,4,1,4,2.152,74.68
917,Cl/C(=C/c1cccc2nccn12)c1nc2ccccc2s1,3.844,311.789,2,0,2,3.851,58.43
2627,Cc1ccc(C/N=C2\C(c3ccc(F)c(F)c3)=Nc3ncnn32)cc1,4.42,337.326,4,0,3,4.247,55.43
344,NCC1=CCCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ncc(F)cc2Cl)C1,0.499,447.823,6,2,4,1.489,112.65
1761,CC(C)O[C@H]1C[C@@H](NC(=O)Nc2ccnnc2)C1,-0.076,250.297,4,2,4,-0.076,76.14
1588,[H][C@@]12c3cc(O)cc(O)c3[C@H](c3ccc(O)cc3)[C@]3([H])c4c(c(O)cc(c41)O[C@@H]2c1ccc(O)cc1)[C@@H](c1cc(O)cc(O)c1)[C@@H]3c1ccc(O)cc1,7.735,680.698,9,8,4,5.565,171.07
294,CCC1C(c2ccccc2)NC(c2ccccc2)CC1(O)c1ccc(F)cc1,4.991,375.478,2,2,4,4.592,32.26
1753,CCOC(=O)c1cc(C(=O)OCC)n(CCCC#N)c1,2.129,278.304,5,0,9,2.129,81.32
1096,N#Cc1nc(N2CCCC2)nc(N(c2ccccc2)c2ccccc2)n1,4.924,342.397,4,0,4,4.924,68.94
904,CCn1cc(S(=O)(=O)N2CCN(S(=O)(=O)c3cnn(C)c3)CC2)cn1,-0.821,388.466,6,0,5,-0.821,127.16
642,CC(=O)NCCOc1c(C)cc(S(N)(=O)=O)cc1C,0.683,286.347,4,2,5,0.684,106.87
2886,CC(c1ccc(F)cc1)N(C)C(=O)c1ccc(-c2ccncc2)[nH]c1=O,1.814,351.374,3,1,4,1.815,62.3
3050,O=C(c1c(OCC2CC2)cc(=O)n2c1CCCCC2)N1CCc2ccccc2C1,2.96,392.491,3,0,4,2.96,49.85
3044,CN(C(=O)CN1N=C(c2ccccc2)Cn2c(cc3ccccc32)C1=O)C1CCCCC1,4.47,428.526,3,0,4,4.47,57.91
1892,COC(=O)CCC(=O)Nc1sc(C)c(C)c1C(N)=O,0.441,284.331,4,2,6,0.441,126.72
2809,Cc1cc(C#N)cc(NC(=O)C(F)(F)F)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,4.741,527.682,5,2,5,4.741,112.69
2873,CN(Cc1ccccc1N1CCCCC1)S(=O)(=O)c1cn(C)c(=O)n(C)c1=O,0.884,406.499,4,0,5,0.053,89.62
2574,O=C1OC(C(=O)O)Cc2c(F)cc(Br)cc21,2.33,289.055,4,1,1,0.858,63.6
1168,COc1ccc(OC)c(NC(=O)C2C3CC4OC(=O)C2C4C3)c1,1.318,317.336,5,1,4,1.318,73.86
593,COc1cc(CNCCN(C)C)c(Cl)cc1OCc1ccccc1,3.721,348.867,4,1,9,2.953,33.73
1945,Cc1cccc(C)c1C1=NOC(C)(CS(=O)(=O)C2=NOC(C)(C)C2)C1,2.821,364.459,6,0,4,2.821,85.69
2770,CN(CCOC(=O)c1ccc(C(C)(C)C)cc1)C1=NS(=O)(=O)c2ccccc21,3.084,400.491,5,0,7,3.084,84.42
260,CN1CCc2c(c3ccccc3n2-c2cncnc2)C1,2.28,264.325,3,0,1,1.869,33.95
3065,O=S(=O)(NCCn1c(-c2ccncc2)nc2ccccc21)c1ccc(Br)s1,3.24,463.371,4,1,6,3.25,113.49
832,Cc1cc(NCc2cn[nH]c2-c2ccccc2)ccc1Br,4.71,342.233,1,2,4,4.709,40.71
1343,CCOC(=O)c1cc2cc(NC(=N)N)ccc2s1,2.152,263.316,3,3,5,2.171,116.44
272,Cn1ncc2c(NCCO)n/c(=N/c3cccc(F)c3)[nH]c21,1.102,302.307,4,3,4,0.999,86.83
3031,Cc1ccc(N2C(=O)c3[nH]nc(C)c3C2c2ccc(F)cc2)cc1,3.896,321.348,2,1,2,3.895,48.99
1115,Cc1nc(=N)nc2ncc(C(=O)c3ccccc3O)cn12,1.57,281.269,6,2,2,1.554,101.47
500,COC(=O)CC(c1c(O)cc(C)n(CCc2ccc(O)cc2)c1=O)c1cnn2cccnc12,1.384,448.471,7,2,8,1.005,117.26
2345,CC[C@@H](C)[C@H](NS(=O)(=O)c1ccccc1)C(=O)O,2.005,271.333,4,2,6,0.543,91.85
2328,Nc1ccc2nc(CCCc3nc4ccc(N)cc4s3)sc2c1,3.361,340.466,2,2,4,3.552,134.29
2774,CN1C(=O)N(C)C2(CCN(CCOc3ccccc3)C2)C1=O,1.001,303.356,4,0,4,-0.559,53.09
2052,COc1ccc(Cl)cc1NC(=O)c1cc2c(OC)ccc(OC)c2n1C,4.02,374.818,4,1,5,4.02,61.72
2504,Cc1nn(-c2ccc(F)cc2)c(C)c1C1CC(=O)Nc2c1c(C)nn2-c1ncnc2[nH]cnc12,2.528,457.463,6,2,3,2.525,119.2
2724,CCNC(=O)Nc1ccc2c(cnn2-c2cc(C(C)=O)c(Cl)cc2Cl)c1,3.79,391.251,3,2,4,3.79,76.02
3371,CC(C)c1nc(C#N)c(NNC(=O)CC2CCCCC2)o1,3.063,290.361,3,2,5,3.064,90.94
1319,COc1cc(=O)n(C)cc1C(=O)NCCCNC(=O)OC(C)(C)C,-0.433,339.387,5,2,8,-0.433,96.97
2800,Cc1cc(C#N)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2Cc2cc(F)nc(OCCOCc3ccccc3)c2)c1,5.343,556.584,7,1,11,5.343,121.62
2275,O=C1C(N2CCC3(CCOCC3)C2)CCN1c1cccc(Cl)c1,2.124,334.84,3,0,2,1.156,32.78
3447,CCCn1nccc1-c1csc(S(=O)(=O)NC(C)(C)CC)c1,3.314,341.492,3,1,7,3.314,100.6
1570,CC1CCCC(NC(=O)CCNS(=O)(=O)c2cc(Br)cnc2N)C1C,1.868,433.364,4,3,6,1.878,122.55
3338,Cc1nc2nc(CCc3ccccc3)nn2c(C)c1Cl,3.581,286.759,3,0,3,3.571,43.08
1836,CC(NNC(=O)c1ccccc1Br)C(=O)Nc1sccc1C#N,2.08,393.258,4,3,5,2.184,122.26
3345,Cc1csc(C2=C(N)N(CC(C)C)CC2=O)n1,1.332,251.348,2,1,3,1.44,87.46
1894,O=C(C1CCCN1S(=O)(=O)c1ccc(-c2ccc(=O)[nH]n2)s1)N1CCc2ccccc21,2.155,456.538,5,1,4,2.196,135.76
2805,COc1ccc(C2=NOC(c3ccsc3)C2)cc1,2.868,259.324,3,0,3,2.868,59.06
2265,CCc1cnc(C)nc1NCC1CC(C(C)C)=NO1,2.21,262.351,4,1,5,2.209,59.4
360,COC(=O)[C@@]12Cc3ccccc3[C@@H](C1)N(C(C)(C)C)O2,2.069,275.343,4,0,3,2.069,38.76
3097,N#Cc1ccc(C(=O)N2CCC(N(Cc3ccccc3)C(=O)c3ccc(C#N)[nH]3)C2)[nH]1,2.91,412.444,4,2,5,2.91,119.78
620,CCOc1ccc2[nH]c3c(=O)n(CCN(C(C)C)C(C)C)cnc3c2c1,3.464,356.462,4,1,7,1.907,60.93
2480,COc1ccccc1Nc1nc(N)nc(CN(C)Cc2ccco2)n1,2.501,340.38,5,2,7,1.305,102.33
986,CCN1CCN(c2nc(-c3ccc(C)cc3)cc3cc(C)ccc23)CC1,5.514,345.481,2,0,3,5.482,19.37
34,Oc1ccc(-c2nc(-c3ccc(F)c(F)c3)no2)cc1Cl,3.978,308.667,3,1,2,3.827,59.15
690,CCC1=NOC(c2nc3sc(CC)cc3c(=O)[nH]2)C1,1.853,277.342,4,1,3,1.853,91.29
3123,Cc1ccc(S(=O)(=O)Nc2ccc3nc(N4CCN(c5ccccc5)CC4)cc(C(=O)O)c3c2)cc1,4.95,502.585,5,2,6,4.613,111.22
2062,Cc1cc(=O)n(CCNC(=O)c2nc3nc(C)cc(C)n3n2)cn1,-0.173,327.341,6,1,4,-0.173,104.85
376,CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncnc3[nH]cc(-c4cc(Cl)c(O)c(Cl)c4)c23)CC1,3.64,470.373,5,4,5,2.945,128.38
101,CCn1ccc(C(=O)N2CCCN(S(C)(=O)=O)c3ccccc32)n1,1.245,348.42,4,0,3,1.244,83.88
3336,Cc1nnc(SCc2nc(N)nc(Nc3ccc4ccccc4c3)n2)s1,3.447,381.478,6,2,5,3.447,156.04
1486,CC(Nc1ncnc2c1NC(=O)CN2)c1cc2ccccc2nc1-c1ccccc1,3.647,396.444,4,3,4,3.647,91.83
2892,COC(=O)CC(c1cnn(C(C)C)c1)c1c(O)cc(C)n(CCc2c[nH]cn2)c1=O,0.758,413.47,6,2,9,1.162,113.34
939,O=S(=O)(CCNc1ccccc1F)c1ccccc1,3.018,279.33,2,1,5,3.018,54.55
1601,CC(c1ccc(-c2ccc(S(N)(=O)=O)cc2F)cc1)N1CCOCC1,2.397,364.434,4,1,4,2.399,81.01
946,O=C(c1ccccc1)c1ccccc1Nc1cccc2c1N(c1ncccn1)CC2,5.357,392.452,3,1,5,5.356,58.12
1258,CC1(C)CC(=O)c2c(O)cc(OCC(=O)NCC3CCC(C(=O)O)CC3)cc2O1,2.245,405.442,7,3,6,0.825,122.16
