,HLM
1219,48.437
1215,0.05
2676,46.03
606,2.897
164,94.51
2154,99.0
1040,14.06
1978,4.12
2665,84.517
3348,6.536
329,0.07
2011,77.38
2528,31.2
2546,1.0
3368,80.5
1429,99.99
3230,99.99
2141,47.46
809,46.76
433,11.04
1107,88.795
2091,71.679
860,8.37
274,54.361
967,69.324
2758,16.873
3454,15.189
2139,30.79
1346,0.22
2813,8.43
885,99.0
556,71.39
908,67.12
1381,99.99
2117,35.428
2562,27.834
509,89.211
2388,9.17
221,41.304
1297,30.09
146,46.793
1777,23.868
1053,34.08
1822,15.12
2851,2.84
508,24.08
323,0.41
1561,95.472
176,29.74
2852,99.0
1908,31.248
168,1.0
1400,64.922
3421,2.55
1392,5.95
2257,4.34
2177,54.86
2237,87.1
136,1.0
1470,18.86
3152,95.73
1278,3.503
1973,10.82
894,3.06
197,36.57
2338,76.4
1483,76.3
1792,26.71
2084,99.9
767,83.19
2280,98.378
2693,90.13
2081,0.73
1112,36.716
3376,22.408
2850,99.9
3116,0.034
865,72.393
2389,54.51
1085,71.47
1447,6.647
199,5.3
429,84.35
3471,99.833
1823,12.59
1795,14.913
2924,10.648
1970,3.15
730,18.2
2967,99.9
297,71.04
2121,3.164
807,81.465
2595,99.9
1565,61.69
2997,82.13
1172,99.9
3327,46.83
3334,61.58
821,74.292
2711,51.084
1241,24.61
1563,12.34
3318,18.349
623,35.92
1445,82.55
1718,38.62
1162,25.15
2260,48.11
1640,82.926
3083,94.7
3332,21.5
2603,97.982
2775,91.79
2749,64.218
1022,15.17
1750,0.96
291,1.9
2022,86.99
1740,2.85
2282,99.9
1007,1.82
3026,13.369
67,38.47
24,1.36
216,87.78
2860,82.293
1910,99.99
2783,57.841
1153,99.99
2159,99.0
166,99.0
3419,0.04
207,76.112
2322,45.01
2089,34.93
591,95.89
1176,34.03
1720,99.99
1863,77.868
525,53.91
2335,36.628
469,97.666
1350,78.483
2169,38.38
2811,49.388
1531,77.29
928,94.358
1896,0.75
2721,79.975
1619,0.006
1469,62.047
1141,6.92
2934,87.0
1913,0.58
956,35.36
1488,83.51
25,0.07
1134,65.209
2197,97.1
925,55.845
3224,0.058
1552,0.023
2744,17.364
843,71.82
1645,81.242
2937,31.08
2646,45.01
1020,74.11
2187,25.72
749,62.709
3052,6.407
2371,14.78
180,99.9
1272,73.643
2498,95.16
1434,82.77
607,95.648
3091,3.78
1352,7.76
2344,23.5
1904,9.912
1899,18.92
3298,0.117
94,49.31
770,33.682
637,99.0
1304,57.465
2334,0.009
2536,95.16
2492,6.672
1208,67.6
1395,84.02
1578,49.064
1198,88.383
275,68.2
2854,90.483
1152,69.59
1206,0.32
2080,20.554
1104,92.85
307,99.9
2818,0.881
2059,7.81
872,99.9
3115,99.9
86,99.9
2826,47.743
3108,67.265
2753,44.65
3130,92.291
3113,0.52
2830,99.0
1435,80.49
2610,99.99
209,1.18
3220,99.0
2787,52.738
1966,86.283
2642,80.9
1987,99.9
2171,94.69
2782,99.99
931,77.89
2146,99.99
2425,38.248
130,12.44
1723,47.51
2071,28.35
954,64.068
555,12.442
2418,73.777
1930,8.448
1536,0.0
2431,99.99
201,51.156
2965,84.62
2023,6.759
368,1.301
973,87.936
1634,14.59
2435,65.86
816,2.54
1954,99.99
1316,0.273
1905,0.0
256,18.11
3269,7.393
3167,3.399
1472,99.0
1699,95.237
2217,4.28
1605,99.99
1329,67.138
560,3.27
1877,83.86
373,99.9
2957,80.388
2767,64.632
2839,40.675
3002,5.667
3299,99.9
1684,61.53
1167,99.9
2024,1.26
1204,32.29
2916,0.89
972,69.756
1155,74.618
2036,25.5
3450,8.092
1071,21.17
3012,44.928
774,80.3
324,99.99
2251,3.222
84,51.74
2681,0.224
2956,11.88
1589,85.58
2659,6.429
2446,92.21
1920,98.78
91,99.99
3154,20.24
430,1.67
2827,39.885
3191,68.34
2339,4.414
2105,60.7
1345,94.97
257,99.0
888,23.65
3448,99.99
1466,49.139
3114,17.121
1641,23.46
388,25.82
2383,21.26
273,23.024
756,99.99
1925,9.8
3125,3.9
1956,84.046
3438,0.504
2176,89.5
802,20.4
2076,8.23
1207,99.99
2930,99.99
2558,60.136
2723,78.585
151,99.99
2292,63.08
714,4.262
2591,88.313
544,44.667
639,50.55
2745,87.02
3337,99.357
3360,99.99
423,33.37
2958,65.99
3219,10.41
659,0.027
797,85.0
3467,4.992
3249,57.59
2008,3.48
99,1.32
2898,62.03
2496,5.29
1871,45.336
2046,77.539
755,20.58
976,54.42
2163,82.265
1940,57.23
2825,91.53
2120,39.905
2893,24.38
537,2.21
1701,3.495
2897,2.795
2222,14.59
2135,2.618
2599,74.72
705,27.23
2362,37.769
3468,27.286
2648,80.273
3142,8.86
2647,3.06
1828,37.815
1778,54.7
277,32.32
1033,99.99
3431,0.0
1731,84.53
763,48.057
835,8.41
3264,99.0
1653,69.04
2607,1.649
2732,80.04
